family,cutoff_cycle,metric,mean,std,n_seeds
cyclepatch_batlinet,20,test_mae,122.5810775756836,6.224021813078035,5
cyclepatch_batlinet,20,test_rmse,157.94607543945312,11.944203774480119,5
cyclepatch_batlinet,20,test_mape,15.975339126586913,1.6547778407463127,5
cyclepatch_batlinet,20,test_r2,0.7780618786811828,0.03271936508257662,5
cyclepatch_batlinet,50,test_mae,114.25318756103516,6.686535172956984,5
cyclepatch_batlinet,50,test_rmse,141.3554931640625,9.628756301443302,5
cyclepatch_batlinet,50,test_mape,15.563622856140137,0.6426493962785969,5
cyclepatch_batlinet,50,test_r2,0.8223904252052308,0.02456051690515608,5
cyclepatch_batlinet,100,test_mae,102.99562225341796,3.1871464121429174,5
cyclepatch_batlinet,100,test_rmse,129.55508270263672,3.396340002637213,5
cyclepatch_batlinet,100,test_mape,14.064326667785645,0.6034671246928166,5
cyclepatch_batlinet,100,test_r2,0.8512765288352966,0.007709572335094485,5
cyclepatch_batlinet,150,test_mae,101.913818359375,13.005915261145683,5
cyclepatch_batlinet,150,test_rmse,128.92333984375,17.301345322081367,5
cyclepatch_batlinet,150,test_mape,12.758759880065918,1.0445095086112095,5
cyclepatch_batlinet,150,test_r2,0.850683617591858,0.040326676319109175,5
cyclepatch_direct,20,test_mae,116.05283813476562,7.546950149146555,5
cyclepatch_direct,20,test_rmse,143.35902099609376,13.714583779388276,5
cyclepatch_direct,20,test_mape,16.538483238220216,1.1120500975787324,5
cyclepatch_direct,20,test_r2,0.8166629910469055,0.034874468128167066,5
cyclepatch_direct,50,test_mae,111.44021911621094,8.263095896052207,5
cyclepatch_direct,50,test_rmse,137.5443145751953,15.324172562076363,5
cyclepatch_direct,50,test_mape,15.514234924316407,1.1193157897614936,5
cyclepatch_direct,50,test_r2,0.8307968139648437,0.03714758144911287,5
cyclepatch_direct,100,test_mae,104.52194519042969,7.637706896511413,5
cyclepatch_direct,100,test_rmse,130.37357635498046,8.411740567690035,5
cyclepatch_direct,100,test_mape,13.864077377319337,1.1132080590524833,5
cyclepatch_direct,100,test_r2,0.8489728569984436,0.019874861755187646,5
cyclepatch_direct,150,test_mae,98.19043579101563,9.084058413136747,5
cyclepatch_direct,150,test_rmse,122.48767395019532,14.900095353415425,5
cyclepatch_direct,150,test_mape,12.621430015563964,0.8469923788721196,5
cyclepatch_direct,150,test_r2,0.865560245513916,0.03256556534604565,5
